headshot,SPLASHES_HEADSHOT,SPLASHES_HEADSHOT_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,dummy,splash
assistedsuicide,SPLASHES_ASSISTEDSUICIDE,SPLASHES_ASSISTEDSUICIDE_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
longshot,SPLASHES_LONGSHOT,SPLASHES_LONGSHOT_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
proximitykill,SPLASHES_PROXIMITYKILL,SPLASHES_PROXIMITYKILL_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
proximityassist,SPLASHES_PROXIMITYASSIST,SPLASHES_PROXIMITYASSIST_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
execution,SPLASHES_EXECUTION,SPLASHES_EXECUTION_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
avenger,SPLASHES_AVENGER,SPLASHES_AVENGER_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
defender,SPLASHES_DEFENDER,SPLASHES_DEFENDER_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
posthumous,SPLASHES_POSTHUMOUS,SPLASHES_POSTHUMOUS_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
revenge,SPLASHES_REVENGE,SPLASHES_REVENGE_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
doublekill,SPLASHES_DOUBLEKILL,SPLASHES_DOUBLEKILL_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
triplekill,SPLASHES_TRIPLEKILL,SPLASHES_TRIPLEKILL_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
multikill,SPLASHES_MULTIKILL,SPLASHES_MULTIKILL_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
megakill,SPLASHES_MEGAKILL,SPLASHES_MEGAKILL_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
ultrakill,SPLASHES_ULTRAKILL,SPLASHES_ULTRAKILL_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
monsterkill,SPLASHES_MONSTERKILL,SPLASHES_MONSTERKILL_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
ludicrouskill,SPLASHES_LUDICROUSKILL,SPLASHES_LUDICROUSKILL_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
holyshit,SPLASHES_HOLYSHIT,SPLASHES_HOLYSHIT_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
firstblood,SPLASHES_FIRSTBLOOD,SPLASHES_FIRSTBLOOD_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
buzzkill,SPLASHES_BUZZKILL,SPLASHES_BUZZKILL_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
comeback,SPLASHES_COMEBACK,SPLASHES_COMEBACK_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
flagreturn,SPLASHES_FLAGRETURN,SPLASHES_FLAGRETURN_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
flagpickup,SPLASHES_FLAGPICKUP,SPLASHES_FLAGPICKUP_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
killflagcarrier,SPLASHES_KILLED_FLAG_CARRIER,SPLASHES_KILLED_FLAG_CARRIER_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
shield_assist,SPLASHES_SHIELDASSIST,SPLASHES_SHIELDASSIST_DESC,,1.5,0.75,0.25,0.25,1,mp_last_stand,,splash
time_added,SPLASHES_TIME_ADDED,SPLASHES_TIME_ADDED_DESC,,4,1,0.8,0.4,1,mp_last_stand,,splash
uav,MP_KILLSTREAK_N,KILLSTREAKS_UAV,,2.5,0.25,0.75,0.25,1,mp_killstreak_radar,uavrecon,killstreak
uav_support,MP_KILLSTREAK_N,KILLSTREAKS_UAV,,2.5,0.25,0.75,0.25,1,mp_killstreak_radar,uavrecon,killstreak
uav_2,MP_KILLSTREAK_N,KILLSTREAKS_UAV,,2.5,0.25,0.75,0.25,1,mp_killstreak_radar,uavrecon,killstreak
uav_strike,MP_KILLSTREAK_N,KILLSTREAKS_UAV_STRIKE,,2.5,0.25,0.75,0.25,1,mp_killstreak_radar,uavrecon,killstreak
directional_uav,MP_KILLSTREAK_N,KILLSTREAKS_DIRECTIONAL_UAV,,2.5,0.25,0.75,0.25,1,mp_killstreak_radar,uavrecon,killstreak
airstrike,MP_KILLSTREAK_N,KILLSTREAKS_AIRSTRIKE,,2.5,0.25,0.75,0.25,1,mp_killstreak_jet,airstrike,killstreak
helicopter,MP_KILLSTREAK_N,KILLSTREAKS_HELICOPTER,,2.5,0.25,0.75,0.25,1,mp_killstreak_heli,helisupport,killstreak
